15.03.2023 14:47:59: SourceFile=Hata, TargetFile=Mesajı, Status=False, Hata Mesajı = Girilen Dosya Yolu Bulunamadı..
16.03.2023 09:24:00: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:24:00: SourceFile=C:\b\Bidding.zip, TargetFile=E:\double\aaa\Bidding-20230316092400.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:24:00: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\double\aaa\FileManagement-20230316092400.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:24:00: SourceFile=C:\b\forms.zip, TargetFile=E:\double\aaa\forms-20230316092400.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:24:02: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\double\aaa\PdfWriter-20230316092402.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:24:02: SourceFile=C:\b\to-do.zip, TargetFile=E:\double\aaa\to-do-20230316092402.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:24:02: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\double\aaa\Trendyol-20230316092402.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:27:31: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:27:38: SourceFile=b.zip, TargetFile=E:\double\aaa\Tre\b-20230316092738.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:27:38: SourceFile=b.zip, TargetFile=C:\b\, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:27:38: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:27:38: SourceFile=C:\b\Bidding.zip, TargetFile=E:\double\aaa\Tre\Bidding-20230316092738.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:27:39: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\double\aaa\Tre\FileManagement-20230316092739.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:27:39: SourceFile=C:\b\forms.zip, TargetFile=E:\double\aaa\Tre\forms-20230316092739.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:27:40: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\double\aaa\Tre\PdfWriter-20230316092740.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:27:40: SourceFile=C:\b\to-do.zip, TargetFile=E:\double\aaa\Tre\to-do-20230316092740.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:27:40: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\double\aaa\Tre\Trendyol-20230316092740.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:29:08: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:29:15: SourceFile=b.zip, TargetFile=E:\double\asd\b-20230316092915.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:29:15: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:30:59: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:31:07: SourceFile=b.zip, TargetFile=E:\ddd\b-20230316093106.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:07: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:31:07: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:31:07: SourceFile=C:\b\Bidding.zip, TargetFile=E:\ddd\Bidding-20230316093107.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:07: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\ddd\FileManagement-20230316093107.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:07: SourceFile=C:\b\forms.zip, TargetFile=E:\ddd\forms-20230316093107.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:08: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\ddd\PdfWriter-20230316093108.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:08: SourceFile=C:\b\to-do.zip, TargetFile=E:\ddd\to-do-20230316093108.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:08: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\ddd\Trendyol-20230316093108.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:39: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:31:46: SourceFile=b.zip, TargetFile=E:\ddd\b-20230316093146.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:46: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:31:46: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 0
16.03.2023 09:31:46: SourceFile=C:\b\Bidding.zip, TargetFile=E:\ddd\Bidding-20230316093146.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:46: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\ddd\FileManagement-20230316093146.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:46: SourceFile=C:\b\forms.zip, TargetFile=E:\ddd\forms-20230316093146.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:49: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\ddd\PdfWriter-20230316093149.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:49: SourceFile=C:\b\to-do.zip, TargetFile=E:\ddd\to-do-20230316093149.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:31:50: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\ddd\Trendyol-20230316093150.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:33:17: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:33:25: SourceFile=b.zip, TargetFile=E:\ddd\aaaa\b-20230316093325.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:33:25: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:33:25: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:33:25: SourceFile=C:\b\Bidding.zip, TargetFile=E:\ddd\aaaa\Bidding-20230316093325.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:33:25: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\ddd\aaaa\FileManagement-20230316093325.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:33:25: SourceFile=C:\b\forms.zip, TargetFile=E:\ddd\aaaa\forms-20230316093325.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:33:26: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\ddd\aaaa\PdfWriter-20230316093326.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:33:26: SourceFile=C:\b\to-do.zip, TargetFile=E:\ddd\aaaa\to-do-20230316093326.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:33:26: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\ddd\aaaa\Trendyol-20230316093326.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:36:23: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:36:30: SourceFile=b.zip, TargetFile=E:\g\aaa\b-20230316093630.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:36:30: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:36:30: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:36:30: SourceFile=C:\b\Bidding.zip, TargetFile=E:\g\aaa\Bidding-20230316093630.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:36:31: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\g\aaa\FileManagement-20230316093630.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:36:31: SourceFile=C:\b\forms.zip, TargetFile=E:\g\aaa\forms-20230316093631.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:36:32: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\g\aaa\PdfWriter-20230316093632.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:36:32: SourceFile=C:\b\to-do.zip, TargetFile=E:\g\aaa\to-do-20230316093632.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:36:32: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\g\aaa\Trendyol-20230316093632.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:37:58: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:38:05: SourceFile=b.zip, TargetFile=E:\testtt\b.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:38:05: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:38:05: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:38:05: SourceFile=C:\b\Bidding.zip, TargetFile=E:\testtt\Bidding.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:38:05: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\testtt\FileManagement.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:38:05: SourceFile=C:\b\forms.zip, TargetFile=E:\testtt\forms.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:38:07: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\testtt\PdfWriter.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:38:07: SourceFile=C:\b\to-do.zip, TargetFile=E:\testtt\to-do.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:38:07: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\testtt\Trendyol.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:38:55: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:39:02: SourceFile=b.zip, TargetFile=E:\testtt\a\b-20230316093902.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:02: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:39:02: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:39:02: SourceFile=C:\b\Bidding.zip, TargetFile=E:\testtt\a\Bidding-20230316093902.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:02: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\testtt\a\FileManagement-20230316093902.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:02: SourceFile=C:\b\forms.zip, TargetFile=E:\testtt\a\forms-20230316093902.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:03: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\testtt\a\PdfWriter-20230316093903.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:03: SourceFile=C:\b\to-do.zip, TargetFile=E:\testtt\a\to-do-20230316093903.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:03: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\testtt\a\Trendyol-20230316093903.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:41: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:39:48: SourceFile=b.zip, TargetFile=E:\testtt\kk\b.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:48: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:39:48: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:39:48: SourceFile=C:\b\Bidding.zip, TargetFile=E:\testtt\kk\Bidding.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:48: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\testtt\kk\FileManagement.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:48: SourceFile=C:\b\forms.zip, TargetFile=E:\testtt\kk\forms.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:50: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\testtt\kk\PdfWriter.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:50: SourceFile=C:\b\to-do.zip, TargetFile=E:\testtt\kk\to-do.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:39:50: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\testtt\kk\Trendyol.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:44:22: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:44:29: SourceFile=b.zip, TargetFile=E:\ddd\ttt\b.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:44:29: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:44:29: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:44:29: SourceFile=C:\b\Bidding.zip, TargetFile=E:\ddd\ttt\Bidding.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:44:29: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\ddd\ttt\FileManagement.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:44:30: SourceFile=C:\b\forms.zip, TargetFile=E:\ddd\ttt\forms.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:44:31: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\ddd\ttt\PdfWriter.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:44:31: SourceFile=C:\b\to-do.zip, TargetFile=E:\ddd\ttt\to-do.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:44:31: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\ddd\ttt\Trendyol.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:47:40: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:47:47: SourceFile=b.zip, TargetFile=E:\a\teerr\b.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:47:47: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:47:47: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:47:47: SourceFile=C:\b\Bidding.zip, TargetFile=E:\a\teerr\Bidding.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:47:47: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\a\teerr\FileManagement.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:47:48: SourceFile=C:\b\forms.zip, TargetFile=E:\a\teerr\forms.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:47:49: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\a\teerr\PdfWriter.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:47:49: SourceFile=C:\b\to-do.zip, TargetFile=E:\a\teerr\to-do.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:47:49: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\a\teerr\Trendyol.zip, Status=True, Mesaj = klasik işlem ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:52:02: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:52:08: SourceFile=b.zip, TargetFile=E:\testtt\ttt\b-20230316095208.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:52:08: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:52:08: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:52:08: SourceFile=C:\b\Bidding.zip, TargetFile=E:\testtt\ttt\Bidding-20230316095208.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:52:09: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\testtt\ttt\FileManagement-20230316095209.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:52:09: SourceFile=C:\b\forms.zip, TargetFile=E:\testtt\ttt\forms-20230316095209.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:52:10: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\testtt\ttt\PdfWriter-20230316095210.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:52:10: SourceFile=C:\b\to-do.zip, TargetFile=E:\testtt\ttt\to-do-20230316095210.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:52:10: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\testtt\ttt\Trendyol-20230316095210.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:53:11: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 09:53:18: SourceFile=b.zip, TargetFile=E:\g\gg\b-20230316095317.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:53:18: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 09:53:18: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 09:53:18: SourceFile=C:\b\Bidding.zip, TargetFile=E:\g\gg\Bidding-20230316095318.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:53:18: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\g\gg\FileManagement-20230316095318.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:53:18: SourceFile=C:\b\forms.zip, TargetFile=E:\g\gg\forms-20230316095318.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:53:19: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\g\gg\PdfWriter-20230316095319.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:53:19: SourceFile=C:\b\to-do.zip, TargetFile=E:\g\gg\to-do-20230316095319.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 09:53:19: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\g\gg\Trendyol-20230316095319.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:00:16: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 10:00:23: SourceFile=b.zip, TargetFile=E:\hh\b-20230316100023.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:00:23: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 10:00:23: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 10:00:23: SourceFile=C:\b\Bidding.zip, TargetFile=E:\hh\Bidding-20230316100023.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:00:23: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\hh\FileManagement-20230316100023.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:00:23: SourceFile=C:\b\forms.zip, TargetFile=E:\hh\forms-20230316100023.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:00:24: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\hh\PdfWriter-20230316100024.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:00:24: SourceFile=C:\b\to-do.zip, TargetFile=E:\hh\to-do-20230316100024.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:00:25: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\hh\Trendyol-20230316100025.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:01:15: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 10:01:23: SourceFile=b.zip, TargetFile=E:\hg\b-20230316100122.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:01:23: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 10:01:23: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
16.03.2023 10:01:23: SourceFile=C:\b\Bidding.zip, TargetFile=E:\hg\Bidding-20230316100123.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:01:23: SourceFile=C:\b\FileManagement.zip, TargetFile=E:\hg\FileManagement-20230316100123.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:01:23: SourceFile=C:\b\forms.zip, TargetFile=E:\hg\forms-20230316100123.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:01:24: SourceFile=C:\b\PdfWriter.zip, TargetFile=E:\hg\PdfWriter-20230316100124.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:01:24: SourceFile=C:\b\to-do.zip, TargetFile=E:\hg\to-do-20230316100124.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:01:24: SourceFile=C:\b\Trendyol.zip, TargetFile=E:\hg\Trendyol-20230316100124.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:01:27: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = İşlem Başlatılıyor...
16.03.2023 10:01:34: SourceFile=b.zip, TargetFile=E:\hg\b-20230316100134.zip, Status=True, Mesaj = yeniden adlandırma ve Dosya taşıma işlemi başarılı oldu.
16.03.2023 10:01:34: SourceFile=b.zip, TargetFile=C:\b, Status=True, Mesaj = Ana Dizine Ait Dosyalar Ziplendi.
16.03.2023 10:01:34: SourceFile=Bilgilendirme, TargetFile=Mesajı, Status=True, Mesaj = sıkıştırılma düzeyi seçildi 1
